Rank,Location,Country,Territory,Population per square area,Population,Land area
38, Belgium, Belgium,,"383
",11686140,"30528
"
39, Comoros, Comoros,,"381
",852075,"2235
"
40, Grenada, Grenada,,"366
",126184,"345
"
41, Puerto Rico (US), Puerto Rico,US,"361
",3205691,"8868
"
42, Martinique (France), Martinique,France,"337
",366981,"1090
"
43, Sri Lanka, Sri Lanka,,"334
",21893579,"65610
"
44, Japan, Japan,,"326
",123294513,"377930
"
45, Guam (US), Guam,US,"320
",172952,"541
"
46, El Salvador, El Salvador,,"303
",6364943,"21041
"
47, Pakistan, Pakistan,,"302
",240485658,"796095
"
48, Trinidad and Tobago, Trinidad and Tobago,,"299
",1534937,"5127
"
49, Vietnam, Vietnam,,"298
",98858950,"331340
"
50, Saint Lucia, Saint Lucia,,"293
",180251,"616
"
51, U.S. Virgin Islands (US), U.S. Virgin Islands,US,"285
",98750,"347
"
52, United Kingdom, United Kingdom,,"279
",67596281,"242495
"
53, Saint Vincent and the Grenadines, Saint Vincent and the Grenadines,,"267
",103699,"389
"
54, Cayman Islands (UK), Cayman Islands,UK,"263
",69310,"264
"
55, Jamaica, Jamaica,,"257
",2825544,"10991
"
56, Luxembourg, Luxembourg,,"253
",654768,"2586
"
57, Liechtenstein, Liechtenstein,,"247
",39585,"160
"
58, Gambia, Gambia,,"246
",2773168,"11295
"
59, Nigeria, Nigeria,,"249
",230842743,"923768
"
60, Kuwait, Kuwait,,"242
",4310108,"17818
"
61, Guadeloupe (France), Guadeloupe,France,"242
",395839,"1639
"
62, São Tomé and Príncipe, São Tomé and Príncipe,,"241
",231856,"964
"
63, Seychelles, Seychelles,,"236
",107660,"457
"
64, Qatar, Qatar,,"233
",2716391,"11637
"
65, Germany, Germany,,"233
",83294633,"357581
"
66, Dominican Republic, Dominican Republic,,"233
",11332973,"48671
"
67, Marshall Islands, Marshall Islands,,"232
",41996,"181
"
68, Malawi, Malawi,,"221
",20931751,"94552
"
69, American Samoa (US), American Samoa,US,"221
",43915,"199
"
70, North Korea, North Korea,,"217
",26160822,"120538
"
71, Antigua and Barbuda, Antigua and Barbuda,,"213
",94298,"442
"
72, Switzerland, Switzerland,,"213
",8796669,"41291
"
73, Nepal, Nepal,,"210
",30896590,"147181
"
74, British Virgin Islands (UK), British Virgin Islands,UK,"209
",31538,"151
"
75, Uganda, Uganda,,"201
",48582334,"241550
"
76, Italy, Italy,,"195
",58870763,"302068
"
77, Kiribati, Kiribati,,"184
",133515,"726
"
78, Saint Kitts and Nevis, Saint Kitts and Nevis,,"183
",47755,"261
"
79, Anguilla (UK), Anguilla,UK,"175
",15900,"91
"
80, Andorra, Andorra,,"171
",80088,"468
"
81, Guatemala, Guatemala,,"166
",18092026,"108889
"
